data,estrangeiro,institucional,pessoa_fisica,inst_financeira,outros
30/01/2026,993.64,-872.04,-65.64,-74.18,18.23
29/01/2026,2258.14,-2330.13,163.85,-82.75,-9.11
28/01/2026,1336.70,-691.46,-680.84,-49.45,85.06
27/01/2026,1524.71,-1209.16,-484.74,197.03,-27.84
26/01/2026,2472.11,-2640.15,158.65,112.50,-103.12
23/01/2026,1970.92,-914.32,-890.82,-73.14,-92.64
22/01/2026,3406.92,-2283.57,-1014.92,5.00,-113.44
21/01/2026,3583.55,-1995.97,-1482.99,-61.85,-42.73
20/01/2026,1123.23,-1061.60,20.52,-77.64,-4.52
19/01/2026,314.36,-156.01,282.82,-251.95,-189.21
16/01/2026,2115.42,-1214.53,-425.04,-477.62,1.78
15/01/2026,585.08,-1124.50,-61.38,545.68,55.12
14/01/2026,1646.06,-606.27,-501.92,-545.25,7.38
13/01/2026,960.31,-1320.39,411.76,-320.07,268.38
12/01/2026,648.66,-460.80,140.44,-491.89,163.60
09/01/2026,624.19,1607.15,-294.69,-1953.18,16.53
08/01/2026,180.08,137.26,120.89,-87.58,-350.64
07/01/2026,1242.28,-391.17,424.89,-1131.59,-144.42
06/01/2026,457.12,-386.65,135.08,-174.85,-30.70
05/01/2026,-212.35,36.07,-19.27,231.66,-36.10
02/01/2026,-917.52,340.08,491.88,74.77,10.78
30/12/2025,-46.93,-7.35,77.36,-13.62,-9.46
29/12/2025,-1436.15,949.70,333.50,200.31,-47.36
26/12/2025,149.88,-733.03,357.89,296.24,-70.97
23/12/2025,-122.87,651.37,166.77,-621.54,-73.73
22/12/2025,803.40,100.50,441.32,-92.18,-1253.04
19/12/2025,-768.85,3114.57,-360.17,-2009.86,24.32
18/12/2025,1528.73,-586.06,138.00,-1292.72,212.05
17/12/2025,-330.07,-159.30,341.48,36.41,111.48
16/12/2025,1469.09,-789.85,816.47,-1512.06,16.36
15/12/2025,-635.14,1271.51,6.93,866.67,-1509.97
12/12/2025,690.53,-483.63,-79.12,-96.24,-31.54
11/12/2025,-916.97,243.88,262.92,434.89,-24.73
10/12/2025,122.51,-37.15,143.22,-242.47,13.90
09/12/2025,-1318.08,865.31,292.61,84.47,75.69
08/12/2025,666.87,-1411.15,473.06,239.64,31.57
05/12/2025,-2018.74,637.54,1121.05,80.47,179.67
04/12/2025,149.97,39.37,-361.18,90.63,81.20
03/12/2025,-171.96,388.46,-77.52,50.94,-189.92
02/12/2025,388.22,-247.45,-358.35,196.10,21.48
01/12/2025,-76.92,-915.74,125.10,747.88,119.69
28/11/2025,-495.67,-826.83,42.28,1109.63,170.58
27/11/2025,-279.40,192.45,150.68,-30.94,-32.79
26/11/2025,-76.23,445.13,-478.90,81.47,28.52
25/11/2025,-516.46,358.48,59.80,40.49,57.69
24/11/2025,-750.69,386.58,339.33,-20.78,45.56
21/11/2025,-3158.55,2938.72,-734.43,904.71,49.56
19/11/2025,1354.63,-1631.13,116.05,83.74,76.72
18/11/2025,1234.94,-1619.98,-5.22,293.23,97.04
17/11/2025,715.13,-1039.33,79.26,137.44,107.51
14/11/2025,1434.19,-1009.84,-143.23,-441.30,160.18
13/11/2025,762.83,-1808.05,354.36,216.43,474.43
12/11/2025,786.34,-911.93,-142.73,122.97,145.34
11/11/2025,1479.25,-655.55,-1038.11,201.33,13.07
10/11/2025,561.81,-514.93,-412.31,325.36,40.08
07/11/2025,476.01,-105.51,-540.28,-267.96,437.75
06/11/2025,-113.75,-186.83,59.94,322.19,-81.56
05/11/2025,396.71,365.63,-822.36,49.33,10.70
04/11/2025,-1035.29,-4090.75,-149.60,285.30,4990.35
03/11/2025,-714.96,972.53,-220.63,-49.04,12.10
31/10/2025,526.37,305.14,-121.79,-694.25,-15.46
30/10/2025,-389.47,376.37,-109.00,138.69,-16.59
29/10/2025,756.50,-144.53,-227.92,-375.24,-8.81
28/10/2025,665.85,-184.70,-202.97,-248.47,-29.71
27/10/2025,495.88,-208.74,-245.64,-27.36,-14.14
24/10/2025,439.57,-644.46,-45.09,214.48,35.50
23/10/2025,3508.86,-3230.93,-384.44,107.99,-1.48
22/10/2025,-427.12,293.38,-68.78,169.19,33.34
21/10/2025,-301.42,111.54,196.30,-55.68,49.26
20/10/2025,-242.49,265.89,-193.74,168.33,2.00
17/10/2025,-846.84,1722.20,-174.70,-690.75,-9.91
16/10/2025,1346.23,-1315.11,278.04,-344.01,34.85
15/10/2025,562.93,-756.29,97.27,78.22,17.87
14/10/2025,-482.61,410.39,-22.37,61.83,32.76
13/10/2025,106.17,-161.35,-143.79,117.12,81.84
10/10/2025,-1975.62,987.87,327.80,584.19,75.77
09/10/2025,-856.47,628.49,235.96,-33.15,25.18
08/10/2025,-1184.48,906.58,118.56,117.10,42.25
07/10/2025,-1038.56,370.59,584.68,26.94,56.35
06/10/2025,-618.16,333.61,227.92,14.86,41.77
03/10/2025,-355.62,103.06,79.63,156.66,16.27
02/10/2025,-670.98,133.40,454.15,38.38,45.06
01/10/2025,-244.96,-17.08,98.08,95.59,68.37
30/09/2025,162.46,-302.76,90.62,-38.96,88.64
29/09/2025,314.74,-222.25,82.04,-171.81,-2.72
26/09/2025,8.35,-255.56,170.27,55.26,21.69
25/09/2025,408.96,-868.03,395.67,-44.04,107.44
24/09/2025,551.58,-706.73,82.82,33.21,39.12
23/09/2025,1138.00,-61.22,-83.12,-972.41,-21.25
22/09/2025,801.55,-812.49,344.09,-316.42,-16.74
19/09/2025,-35.59,579.72,-806.27,284.95,-22.81
18/09/2025,276.36,-449.21,95.61,66.84,10.40
17/09/2025,187.95,175.77,-261.42,-66.07,-36.23
16/09/2025,1293.44,-1390.90,-59.38,148.16,8.68
15/09/2025,69.87,91.74,40.49,-234.16,32.05
12/09/2025,239.78,-596.61,226.11,96.33,34.38
11/09/2025,869.92,-5643.18,-457.85,-1.48,5232.59
10/09/2025,479.38,-505.31,-21.47,2.32,45.08
